kmod 24-1
knotifications 5.43.0-1
kpackage 5.43.0-1
kparts 5.43.0-1
kpty 5.43.0-1
krb5 1.16-1
kservice 5.43.0-1
ktextwidgets 5.43.0-1
kwallet 5.43.0-1
kwidgetsaddons 5.43.0-1
kwindowsystem 5.43.0-1
kxmlgui 5.43.0-1
ladspa 1.13-6
lame 3.100-1
lapack 3.8.0-1
lcms2 2.9-1
ldb 1.3.1-1
ldns 1.7.0-4
less 530-1
lib32-acl 2.2.52-3
lib32-alsa-lib 1.1.5-1
lib32-alsa-plugins 1.1.5-1
lib32-atk 2.26.1-1
lib32-attr 2.4.47-2
lib32-bzip2 1.0.6-2
lib32-cairo 1.15.10-1
lib32-cracklib 2.9.6-1
lib32-curl 7.58.0-1
lib32-dbus 1.12.4-1
lib32-dbus-glib 0.110-1
lib32-e2fsprogs 1.43.7-1
lib32-expat 2.2.2-1
lib32-flac 1.3.2-1
lib32-fontconfig 2.12.6+5+g665584a-1
lib32-freeglut 3.0.0-1
lib32-freetype2 2.8.1-1
lib32-gcc-libs 7.3.0-1
lib32-gconf 3.2.6-2
lib32-gdk-pixbuf2 2.36.6-1
lib32-gettext 0.19.8.1-1
lib32-giflib 5.1.4-1
lib32-glew1.10 1.10.0-2
lib32-glib2 2.54.2-2
lib32-glibc 2.26-11
lib32-glu 9.0.0-3
lib32-gmp 6.1.2-1
lib32-gnutls 3.5.13-1
lib32-gtk2 2.24.32-1
lib32-harfbuzz 1.7.5-1
lib32-icu 60.1-1
lib32-imlib2 1.4.10-1
lib32-keyutils 1.5.10-1
lib32-krb5 1.16-1
lib32-lcms2 2.8-1
lib32-libappindicator-gtk2 12.10.0-9
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcaca 0.99.beta19-1
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcap 2.25-1
lib32-libcups 2.2.4-2
lib32-libcurl-compat 7.58.0-1
lib32-libcurl-gnutls 7.58.0-1
lib32-libdatrie 0.2.10-1
lib32-libdbusmenu-glib 16.04.0-2
lib32-libdbusmenu-gtk2 16.04.0-2
lib32-libdrm 2.4.90-3
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.8.1-1
lib32-libgcrypt15 1.5.6-4
lib32-libglvnd 1.0.0-1
lib32-libgpg-error 1.27-1
lib32-libgudev 232-1
lib32-libice 1.0.9-3
lib32-libid3tag 0.15.1b-1
lib32-libidn 1.33-1
lib32-libindicator-gtk2 12.10.1-6
lib32-libjpeg-turbo 1.5.3-1
lib32-libjpeg6-turbo 1.5.3-1
lib32-libldap 2.4.44-2
lib32-libltdl 2.4.6+40+g6ca5e224-4
lib32-libmikmod 3.3.11.1-1
lib32-libmodplug 0.8.9.0-1
lib32-libnl 3.4.0-1
lib32-libnm-glib 1.10.2-1
lib32-libogg 1.3.3-2
lib32-libpcap 1.8.1-1
lib32-libpciaccess 0.14-1
lib32-libpng 1.6.34-1
lib32-libpng12 1.2.57-1
lib32-libpsl 0.19.1-1
lib32-libpulse 11.1-1
lib32-librtmp0 2.4-1
lib32-libsm 1.2.2-2
lib32-libsndfile 1.0.28-1
lib32-libssh2 1.8.0-2
lib32-libtasn1 4.13-1
lib32-libthai 0.1.26-1
lib32-libtheora 1.1.1-10
lib32-libtiff 4.0.8-1
lib32-libtiff4 3.9.7-1
lib32-libtirpc 1.0.2-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libudev0-shim 1-3
lib32-libusb 1.0.21-1
lib32-libva 1.8.3-1
lib32-libvdpau 1.1.1-2
lib32-libvorbis 1.3.5-1
lib32-libvpx1.3 1.3.0-1
lib32-libwebp 0.6.1-1
lib32-libwrap 7.6.24-2
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
