sdl 1.2.15-9
sdl2 2.0.8-1
sdl2_image 2.0.3-1
sdl2_mixer 2.0.2-2
sdl2_ttf 2.0.14-1
sdl_image 1.2.12-4
sdl_mixer 1.2.12-5
sdl_ttf 2.0.11-4
sed 4.4-1
shadow 4.5-4
shared-mime-info 1.9-1
sharutils 4.15.2-2
sip 4.19.8-1
slang 2.3.1a-2
smpeg 0.4.5-3
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
spandsp 0.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
spotify 1.0.72.117-1
sqlite 3.22.0-1
startup-notification 0.12-5
steam 1.0.0.54-3
steam-native-runtime 1.0.0.54-5
sudo 1.8.22-1
sysfsutils 2.1.0-9
systemd 237.64-1
systemd-sysvcompat 237.64-1
talloc 2.1.11-1
tar 1.30-1
tcl 8.6.8-1
tdb 1.3.15-1
terminus-font 4.46-1
termite 13-1
termite-terminfo 13-1
texinfo 6.5-1
thin-provisioning-tools 0.7.5-1
tslib 1.15-1
ttf-ubuntu-font-family 0.83-3
tzdata 2018c-1
unrar 1:5.5.8-1
unzip 6.0-12
usb_modeswitch 2.5.2-1
usbutils 009-1
util-linux 2.31.1-1
uudeview 0.5.20-13
v4l-utils 1.14.2-1
vi 1:070224-2
vid.stab 1.1-1
vim 8.0.1542-2
vim-runtime 8.0.1542-2
vte-common 0.50.2+6+g7fe155b9-1
vte3-ng 0.50.2.a-1
vulkan-icd-loader 1.0.68.0-1
wayland 1.14.0-1
wayland-protocols 1.13-1
webkit2gtk 2.18.6-1
webrtc-audio-processing 0.3-2
wget 1.19.4-1
which 2.21-2
whois 5.3.0-1
wicd 1.7.4-1
wicd-gtk 1.7.4-1
wildmidi 0.4.2-1
wireless-regdb 2017.03.07-1
wireless_tools 30.pre9-1
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-11
x265 2.6-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xdg-utils 1.1.2-1
xf86-input-libinput 0.26.0-1
xf86-video-nouveau 1.0.15-2
xfce4-notifyd 0.4.2-1
xfconf 4.12.1-4
xfsprogs 4.14.0-1
xkeyboard-config 2.23.1-2
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-encodings 1.0.4-4
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.6+13+gd0d1a694f-1
xorg-server-common 1.19.6+13+gd0d1a694f-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xdpyinfo 1.3.2-1
xorg-xinit 1.3.4-4
xorg-xkbcomp 1.4.1-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xorgproto 2018.4-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
yaourt 1.9-1
zd1211-firmware 1.5-1
zenity 3.26.0-1
zeromq 4.2.2-2
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zstd 1.3.3-1
zvbi 0.2.35-1
